Number of Peaks,Spectral Centroid,Wavelet Entropy,Lempel_Ziv Complexity,x75th Percentile,Standard Deviation of Spectral Amplitude,Instantaneous Phase Std,File,Segment,SCR_recoveryTime_min,SCR_latency_mean,SCR_latency_std,Rise_Time,Time_to_Peak,SCL_tonic_std,PP,A,D,E,N,P,age,sex,香味,emotion
4552.0,0.1302073565823723,9.148269536762871,0.0024463739215889,5.732446299305527,103.84126988677092,0.8692886458800628,9030807.0,1.0,0.0,0.0,0.0,2.985238095,186.9416667,0.6170988484756893,-0.25,-0.67,-1.5,45.2,47.9,57.5,21.0,2.0,0,无聊
156.0,0.3997543457154091,11.47026188656034,0.0020454631325112,10.439370127128978,0.0028112340630398,0.3541502101222691,9030807.0,2.0,0.0199999999999818,160.15383333333335,64.93037984620312,3.42875,108.5183333,0.556285302000522,-1.5,-1.0,0.0,45.2,47.9,57.5,21.0,2.0,0,无聊
2590.0,0.3893026467406688,10.624924705770578,0.0029667669041897,7.443986632154106,0.0007634091547388,0.4510636624987946,9030807.0,3.0,0.0,236.02702702702703,96.85371925953424,3.021,158.6335,0.6077330693266886,0.25,0.5,0.5,45.2,47.9,57.5,21.0,2.0,薰衣草,依赖
15023.0,0.5515368454521178,9.14897503746577,0.0024750544709627,0.3947132078699203,18.34789455956908,1.4017282548060468,9040807.0,1.0,0.0,0.0,0.0,3.202058824,153.76,0.7652027480063985,-1.5,-0.33,-2.75,45.2,47.9,57.5,21.0,2.0,0,悲伤
10404.0,49.647320821289846,10.568947209758768,0.0027573261594661,6.726191101568183,0.2130485879624606,0.5153414587594833,9040807.0,2.0,0.0800000000000125,178.3815384615385,53.12523684597396,4.463333333,107.1095238,0.6398133738302432,-0.25,-0.25,-2.25,45.2,47.9,57.5,21.0,2.0,0,悲伤
14993.0,49.869098025584776,10.627613352173164,0.001487804890637,1.6455992103553112,0.0522794070731298,0.2043032694656328,9040807.0,3.0,0.079999999999984,173.97188811188812,125.54057261840934,3.123421053,154.72,0.2674247757319933,-1.25,-1.25,1.0,45.2,47.9,57.5,21.0,2.0,薄荷,藐视
15023.0,0.1751205661794422,9.14812814179762,0.0019800435767701,1.2721350321854032,29.70433611760256,1.248202607378126,10010804.0,1.0,0.0,0.0,0.0,2.992352941,154.58,0.7113345503165179,2.0,1.33,1.5,55.7,41.1,47.2,24.0,2.0,0,乐观
25860.0,25.18704004509173,10.216652891411064,0.0024219041177468,5.298482380534127,183.77851075041733,1.4682317609955118,10010804.0,2.0,0.0800000000000125,138.935,0.1150000000000091,3.277037037,256.122037,0.5537838669663883,2.75,2.0,2.75,55.7,41.1,47.2,24.0,2.0,0,乐观
18018.0,49.82909282437301,13.227945392843482,0.0037803174967923,2.445079996141473,0.1149057372086373,0.9291052676573844,10010804.0,3.0,0.1100000000000136,139.37857142857143,24.8595834803467,3.223513514,162.7143243,0.6099208624233191,0.75,1.0,0.75,55.7,41.1,47.2,24.0,2.0,无香,惊奇
618.0,0.1302026446262675,9.148439536557618,0.0024755752192871,6.888129683488577,116.38448275917128,0.7462048830300284,10020808.0,1.0,0.0,0.0,0.0,3.236129032,150.5896774,0.6113460620156543,2.25,2.67,1.75,55.7,41.1,47.2,24.0,2.0,0,喜悦
